sourceLetter	sourceNo	word	pos	zhRaw	starred	sourcePage	sourceRow	reviewStatus
E	1	eager	adj.	渴望的/熱切的	false	1	1	transcribed
E	2	eagle	n.	老鷹	false	1	2	transcribed
E	3	earache	n.	耳痛	true	1	3	transcribed
E	4	early	adj./adv.	早的/提早地	false	1	4	transcribed
E	5	earn	v.	賺取/贏得	false	1	5	transcribed
E	6	earnest	adj.	認真的/誠摯的	false	1	6	transcribed
E	7	earnings	n.	收入/利潤	false	1	7	transcribed
E	8	earphone	n.	耳機	false	1	8	transcribed
E	9	earring	n.	耳環	false	1	9	transcribed
E	10	earth	n.	地球/土地	false	1	10	transcribed
E	11	earthquake	n.	地震	false	1	11	transcribed
E	12	easily	adv.	容易地	false	1	12	transcribed
E	13	eastern	adj.	東方的/東部的	false	1	13	transcribed
E	14	easygoing	adj.	隨和的	false	1	14	transcribed
E	15	eat	v.	吃	false	1	15	transcribed
E	16	echo	n./v.	回聲/產生回響	false	1	16	transcribed
E	17	economic	adj.	經濟上的/經濟學的	false	1	17	transcribed
E	18	economy	n.	經濟/節約	false	1	18	transcribed
E	19	edge	n.	邊緣/優勢	false	1	19	transcribed
E	20	edible	adj.	可食用的	false	1	20	transcribed
E	21	edit	v.	編輯	false	1	21	transcribed
E	22	edition	n.	版本	false	1	22	transcribed
E	23	editor	n.	編輯/編者	false	1	23	transcribed
E	24	educate	v.	教育	false	1	24	transcribed
E	25	educated	adj.	受過教育的	false	1	25	transcribed
E	26	education	n.	教育	false	1	26	transcribed
E	27	educational	adj.	教育的/有教育意義的	false	1	27	transcribed
E	28	effect	n.	影響/效果	false	1	28	transcribed
E	29	effective	adj.	有效的	false	1	29	transcribed
E	30	effectively	adv.	有效地	false	1	30	transcribed
E	31	efficient	adj.	有效率的	false	1	31	transcribed
E	32	effort	n.	努力	false	1	32	transcribed
E	33	Egypt	n.	埃及	true	1	33	transcribed
E	34	Egyptian	adj./n.	埃及的/埃及人	true	1	34	transcribed
E	35	elastic	adj./n.	有彈性的/鬆緊帶	false	1	35	transcribed
E	36	elbow	n.	手肘	false	1	36	transcribed
E	37	elder	n./adj.	長者/年長的	false	1	37	transcribed
E	38	elderly	adj.	年老的	false	2	38	transcribed
E	39	elect	v.	選舉/選出	false	2	39	transcribed
E	40	election	n.	選舉	false	2	40	transcribed
E	41	electric	adj.	用電的/電動的	false	1	41	transcribed
E	42	electrical	adj.	與電有關的	false	1	42	transcribed
E	43	electricity	n.	電/電力	true	1	43	transcribed
E	44	electronic	adj.	電子的	false	1	44	transcribed
E	45	element	n.	要素/元素	false	1	45	transcribed
E	46	elementary	adj.	基本的/初級的	false	1	46	transcribed
E	47	elephant	n.	大象	true	1	47	transcribed
E	48	elevate	v.	提高/抬高	false	1	48	transcribed
E	49	elevator	n.	電梯	false	1	49	transcribed
E	50	embarrass	v.	使尷尬/使難堪	false	1	50	transcribed
E	51	embarrassed	adj.	感到尷尬的	false	1	51	transcribed
E	52	embarrassing	adj.	令人尷尬的	false	1	52	transcribed
E	53	emerge	v.	浮現/出現	false	1	53	transcribed
E	54	emergence	n.	出現/興起	false	1	54	transcribed
E	55	emergency	n.	緊急情況/突發事件	true	1	55	transcribed
E	56	emotion	n.	情緒/情感	false	1	56	transcribed
E	57	emotional	adj.	情緒激動的/情感的	false	1	57	transcribed
E	58	emperor	n.	皇帝	false	1	58	transcribed
E	59	emphasis	n.	強調/重點	false	1	59	transcribed
E	60	emphasize	v.	強調/著重	false	1	60	transcribed
E	61	empire	n.	帝國	false	1	61	transcribed
E	62	employ	v.	雇用/使用	false	1	62	transcribed
E	63	employee	n.	員工/受雇者	false	1	63	transcribed
E	64	employer	n.	雇主	false	1	64	transcribed
E	65	employment	n.	就業/雇用	false	1	65	transcribed
E	66	empty	adj./v.	空的/清空	false	1	66	transcribed
E	67	enable	v.	使能夠	false	1	67	transcribed
E	68	encounter	v./n.	遇到/遭遇	false	1	68	transcribed
E	69	encourage	v.	鼓勵	false	1	69	transcribed
E	70	encouragement	n.	鼓勵	false	1	70	transcribed
E	71	encyclopedia	n.	百科全書	false	1	71	transcribed
E	72	endanger	v.	危及/使遭危險	false	1	72	transcribed
E	73	ending	n.	結尾/結局	false	1	73	transcribed
E	74	endless	adj.	無止境的	false	1	74	transcribed
E	75	enemy	n.	敵人	false	1	75	transcribed
E	76	energetic	adj.	精力充沛的	false	1	76	transcribed
E	77	energy	n.	能量/精力	true	1	77	transcribed
E	78	engaged	adj.	忙碌的/訂婚的	false	2	78	transcribed
E	79	engine	n.	引擎	false	2	79	transcribed
E	80	engineer	n.	工程師	false	2	80	transcribed
E	81	engineering	n.	工程學/工程	false	2	81	transcribed
E	82	enhance	v.	提高/增強	false	2	82	transcribed
E	83	enjoy	v.	享受/喜愛	false	2	83	transcribed
E	84	enjoyment	n.	樂趣/享受	false	2	84	transcribed
E	85	enlarge	v.	擴大/放大	false	2	85	transcribed
E	86	enormous	adj.	巨大的	true	2	86	transcribed
E	87	enormously	adv.	非常地/巨大地	false	2	87	transcribed
E	88	enough	adj./adv.	足夠的/足夠地	false	2	88	transcribed
E	89	enquiry	n.	詢問/調查	false	2	89	transcribed
E	90	ensure	v.	確保	false	2	90	transcribed
E	91	enter	v.	進入	false	2	91	transcribed
E	92	entertain	v.	娛樂/招待	false	2	92	transcribed
E	93	entertainer	n.	表演者/藝人	false	2	93	transcribed
E	94	entertaining	adj.	有趣的/娛樂性的	false	2	94	transcribed
E	95	entertainment	n.	娛樂	false	2	95	transcribed
E	96	enthusiasm	n.	熱情/熱忱	false	2	96	transcribed
E	97	enthusiastic	adj.	熱情的	false	2	97	transcribed
E	98	entire	adj.	整個的/全部的	false	2	98	transcribed
E	99	entirely	adv.	完全地	false	2	99	transcribed
E	100	entrance	n.	入口	false	2	100	transcribed
E	101	entry	n.	進入/項目	false	2	101	transcribed
E	102	envelope	n.	信封	false	2	102	transcribed
E	103	environment	n.	環境	false	2	103	transcribed
E	104	environmental	adj.	環境的	false	2	104	transcribed
E	105	episode	n.	一集/事件	false	2	105	transcribed
E	106	equal	adj./v.	相等的/等於	false	2	106	transcribed
E	107	equality	n.	平等	false	2	107	transcribed
E	108	equally	adv.	同樣地/平等地	false	2	108	transcribed
E	109	equipment	n.	設備/裝備	false	2	109	transcribed
E	110	eraser	n.	橡皮擦	false	2	110	transcribed
E	111	error	n.	錯誤	false	2	111	transcribed
E	112	erupt	v.	爆發/噴發	false	2	112	transcribed
E	113	escalator	n.	電扶梯	false	2	113	transcribed
E	114	escape	v./n.	逃跑/逃脫	true	3	114	transcribed
E	115	especially	adv.	尤其/特別	false	3	115	transcribed
E	116	essay	n.	短文/作文	false	3	116	transcribed
E	117	essential	adj.	必要的/重要的	false	3	117	transcribed
E	118	establish	v.	建立/創立	false	3	118	transcribed
E	119	estate	n.	地產/財產	false	3	119	transcribed
E	120	estimate	v./n.	估計/估價	false	3	120	transcribed
E	121	ethical	adj.	合乎道德的	false	2	121	transcribed
E	122	euro	n.	歐元	false	2	122	transcribed
E	123	Europe	n.	歐洲	false	2	123	transcribed
E	124	evaluate	v.	評估	false	2	124	transcribed
E	125	evaporate	v.	蒸發	false	2	125	transcribed
E	126	evaporation	n.	蒸發	true	2	126	transcribed
E	127	evening	n.	傍晚/晚上	false	2	127	transcribed
E	128	event	n.	事件/活動	false	2	128	transcribed
E	129	eventual	adj.	最後的/最終的	false	2	129	transcribed
E	130	eventually	adv.	最後/終於	false	2	130	transcribed
E	131	evidence	n.	證據	false	2	131	transcribed
E	132	evil	adj./n.	邪惡的/邪惡	false	2	132	transcribed
E	133	exact	adj.	精確的	false	2	133	transcribed
E	134	exactly	adv.	精確地/正是	false	2	134	transcribed
E	135	exaggerate	v.	誇大	false	2	135	transcribed
E	136	exaggeration	n.	誇張/誇大	false	2	136	transcribed
E	137	exam	n.	考試	false	2	137	transcribed
E	138	examination	n.	考試/檢查	false	2	138	transcribed
E	139	examine	v.	檢查/考察	false	2	139	transcribed
E	140	example	n.	例子	false	2	140	transcribed
E	141	exceed	v.	超過	false	2	141	transcribed
E	142	excellence	n.	卓越/優秀	false	2	142	transcribed
E	143	excellent	adj.	優秀的/極好的	false	2	143	transcribed
E	144	except	prep./conj.	除了	false	2	144	transcribed
E	145	exception	n.	例外	false	2	145	transcribed
E	146	exchange	v./n.	交換	false	2	146	transcribed
E	147	excite	v.	使興奮	false	2	147	transcribed
E	148	excited	adj.	興奮的	true	2	148	transcribed
E	149	excitement	n.	興奮	false	2	149	transcribed
E	150	exciting	adj.	令人興奮的	true	2	150	transcribed
E	151	excuse	n./v.	藉口/原諒	false	2	151	transcribed
E	152	executive	n./adj.	主管/執行的	false	2	152	transcribed
E	153	exercise	n./v.	運動/練習	false	2	153	transcribed
E	154	exhibition	n.	展覽	false	3	154	transcribed
E	155	exist	v.	存在	false	3	155	transcribed
E	156	existence	n.	存在	false	3	156	transcribed
E	157	exit	n./v.	出口/離開	false	3	157	transcribed
E	158	expand	v.	擴展/膨脹	false	3	158	transcribed
E	159	expansion	n.	擴張/擴充	false	3	159	transcribed
E	160	extensive	adj.	廣泛的/大量的	false	3	160	transcribed
E	161	expect	v.	期待/預期	false	3	161	transcribed
E	162	expectation	n.	期待/預期	false	3	162	transcribed
E	163	expected	adj.	預期的	false	3	163	transcribed
E	164	expedition	n.	探險/遠征	false	3	164	transcribed
E	165	expense	n.	費用/開支	false	3	165	transcribed
E	166	expensive	adj.	昂貴的	false	3	166	transcribed
E	167	experience	n./v.	經驗/經歷	false	3	167	transcribed
E	168	experienced	adj.	有經驗的	false	3	168	transcribed
E	169	experiment	n./v.	實驗	false	3	169	transcribed
E	170	expert	n./adj.	專家/熟練的	false	3	170	transcribed
E	171	expire	v.	到期/期滿	false	3	171	transcribed
E	172	explain	v.	解釋	false	3	172	transcribed
E	173	explanation	n.	解釋	false	3	173	transcribed
E	174	explode	v.	爆炸	false	3	174	transcribed
E	175	exploration	n.	探索	false	3	175	transcribed
E	176	explore	v.	探索	false	3	176	transcribed
E	177	explorer	n.	探險家	false	3	177	transcribed
E	178	explosion	n.	爆炸	false	3	178	transcribed
E	179	explosive	adj./n.	爆炸性的/爆裂物	false	3	179	transcribed
E	180	export	v./n.	出口	false	3	180	transcribed
E	181	expose	v.	暴露/揭露	false	3	181	transcribed
E	182	exposure	n.	暴露/接觸	false	3	182	transcribed
E	183	express	v./adj.	表達/快速的	false	3	183	transcribed
E	184	expression	n.	表情/表達	false	3	184	transcribed
E	185	extend	v.	延伸/延長	false	3	185	transcribed
E	186	extension	n.	延伸/分機	false	3	186	transcribed
E	187	extensive	adj.	廣泛的/大規模的	false	3	187	transcribed
E	188	extent	n.	程度/範圍	false	3	188	transcribed
E	189	external	adj.	外部的	false	3	189	transcribed
E	190	extinct	adj.	絕種的/滅絕的	false	3	190	transcribed
E	191	extra	adj./n.	額外的/附加物	false	3	191	transcribed
E	192	extraordinary	adj.	非凡的/特別的	false	4	192	transcribed
E	193	extreme	adj./n.	極端的/極端	false	4	193	transcribed
E	194	extremely	adv.	極端地/非常	false	4	194	transcribed
E	195	eyebrow	n.	眉毛	false	4	195	transcribed
F	1	fabric	n.	布料/織物	true	5	1	transcribed
F	2	facility	n.	設施/設備	false	5	2	transcribed
F	3	fact	n.	事實	false	5	3	transcribed
F	4	factor	n.	因素	false	5	4	transcribed
F	5	factory	n.	工廠	false	5	5	transcribed
F	6	fade	v.	褪色/逐漸消失	false	5	6	transcribed
F	7	Fahrenheit	n./adj.	華氏	true	5	7	transcribed
F	8	fail	v.	失敗/不及格	false	5	8	transcribed
F	9	failure	n.	失敗	false	5	9	transcribed
F	10	faint	adj./v.	微弱的/昏倒	false	5	10	transcribed
F	11	fair	adj./n.	公平的/市集	false	5	11	transcribed
F	12	fairly	adv.	相當地/公平地	false	5	12	transcribed
F	13	fairy	n.	仙子/精靈	false	5	13	transcribed
F	14	faith	n.	信任/信仰	false	5	14	transcribed
F	15	faithful	adj.	忠實的	false	5	15	transcribed
F	16	fake	adj./n.	假的/仿冒品	false	5	16	transcribed
F	17	fall	v./n.	跌倒/秋天	false	5	17	transcribed
F	18	false	adj.	錯誤的/假的	false	5	18	transcribed
F	19	fame	n.	名聲	false	5	19	transcribed
F	20	familiar	adj.	熟悉的	false	5	20	transcribed
F	21	family	n.	家庭/家人	false	5	21	transcribed
F	22	famous	adj.	有名的	false	5	22	transcribed
F	23	fancy	adj./v.	花俏的/想要	false	5	23	transcribed
F	24	fantastic	adj.	極好的/不可思議的	true	5	24	transcribed
F	25	fantasy	n.	幻想	false	5	25	transcribed
F	26	fare	n.	票價/車費	false	5	26	transcribed
F	27	farming	n.	農業/耕作	false	5	27	transcribed
F	28	farsighted	adj.	有遠見的/遠視的	false	5	28	transcribed
F	29	farther	adv./adj.	較遠地/更遠的	false	5	29	transcribed
F	30	fascinate	v.	使著迷	false	5	30	transcribed
F	31	fascinating	adj.	迷人的	false	5	31	transcribed
F	32	fashion	n.	時尚/流行	false	5	32	transcribed
F	33	fashionable	adj.	時髦的	false	5	33	transcribed
F	34	fasten	v.	繫牢/扣緊	false	5	34	transcribed
F	35	fate	n.	命運	false	5	35	transcribed
F	36	father	n.	父親	false	6	36	transcribed
F	37	faucet	n.	水龍頭	false	6	37	transcribed
F	38	fault	n.	錯誤/缺點	false	6	38	transcribed
F	39	favor	n./v.	恩惠/偏愛	false	6	39	transcribed
F	40	favorable	adj.	有利的/贊成的	false	6	40	transcribed
F	41	favorite	adj./n.	最喜愛的	false	5	41	transcribed
F	42	feast	n.	盛宴	false	5	42	transcribed
F	43	feather	n.	羽毛	true	5	43	transcribed
F	44	feature	n./v.	特色/以為特色	false	5	44	transcribed
F	45	feed	v.	餵食/供給	false	5	45	transcribed
F	46	feedback	n.	回饋/意見	false	5	46	transcribed
F	47	feel	v.	感覺	false	5	47	transcribed
F	48	feeling	n.	感覺/情感	false	5	48	transcribed
F	49	fellow	n./adj.	同伴/同類的	false	5	49	transcribed
F	50	female	n./adj.	女性/雌性的	false	5	50	transcribed
F	51	fence	n.	柵欄/圍籬	true	5	51	transcribed
F	52	ferry	n.	渡輪	false	5	52	transcribed
F	53	festival	n.	節日/慶典	false	5	53	transcribed
F	54	fetch	v.	取來	false	5	54	transcribed
F	55	fiber	n.	纖維	false	5	55	transcribed
F	56	fiction	n.	小說/虛構	false	5	56	transcribed
F	57	field	n.	田野/領域	true	5	57	transcribed
F	58	fierce	adj.	猛烈的/兇猛的	false	5	58	transcribed
F	59	fight	v./n.	打架/戰鬥	false	5	59	transcribed
F	60	fighting	n./adj.	戰鬥/打鬥的	false	5	60	transcribed
F	61	figure	n./v.	數字/圖形/認為	true	5	61	transcribed
F	62	fill	v.	填滿	false	5	62	transcribed
F	63	final	adj./n.	最後的/決賽	false	5	63	transcribed
F	64	finally	adv.	最後/終於	false	5	64	transcribed
F	65	finance	n./v.	財務/資助	false	5	65	transcribed
F	66	financial	adj.	財務的/金融的	false	5	66	transcribed
F	67	find	v.	找到/發現	false	5	67	transcribed
F	68	finding	n.	發現/調查結果	false	5	68	transcribed
F	69	finger	n.	手指	true	5	69	transcribed
F	70	finish	v./n.	完成/結束	false	5	70	transcribed
F	71	firecracker	n.	鞭炮	false	5	71	transcribed
F	72	firefighter	n.	消防員	true	5	72	transcribed
F	73	fireplace	n.	壁爐	false	5	73	transcribed
F	74	fireproof	adj.	防火的	false	5	74	transcribed
F	75	fireworks	n.	煙火	true	5	75	transcribed
F	76	firstly	adv.	首先	false	6	76	transcribed
F	77	fisherman	n.	漁夫	false	6	77	transcribed
F	78	fishing	n.	釣魚/捕魚	false	6	78	transcribed
F	79	fist	n.	拳頭	false	6	79	transcribed
F	80	fitness	n.	健康/適合	false	6	80	transcribed
F	81	fixed	adj.	固定的	false	6	81	transcribed
F	82	fizzy	adj.	有氣泡的	true	6	82	transcribed
F	83	flame	n.	火焰	false	6	83	transcribed
F	84	flash	n./v.	閃光/閃現	false	6	84	transcribed
F	85	flashlight	n.	手電筒	false	6	85	transcribed
F	86	flat	n./adj.	公寓/平坦的	false	6	86	transcribed
F	87	flavor	n.	味道/風味	false	6	87	transcribed
F	88	flea	n.	跳蚤	false	6	88	transcribed
F	89	flee	v.	逃離	false	6	89	transcribed
F	90	flexible	adj.	有彈性的/靈活的	false	6	90	transcribed
F	91	flight	n.	飛行/航班	false	6	91	transcribed
F	92	float	v./n.	漂浮	false	6	92	transcribed
F	93	flock	n.	一群/鳥群	false	6	93	transcribed
F	94	flood	n./v.	洪水/淹沒	false	6	94	transcribed
F	95	floor	n.	地板/樓層	true	6	95	transcribed
F	96	flour	n.	麵粉	true	6	96	transcribed
F	97	flow	v./n.	流動	false	6	97	transcribed
F	98	flu	n.	流感	false	6	98	transcribed
F	99	fluent	adj.	流利的	false	6	99	transcribed
F	100	fluid	n./adj.	液體/流動的	false	6	100	transcribed
F	101	flunk	v.	不及格	false	6	101	transcribed
F	102	flush	v./n.	沖洗/臉紅	false	6	102	transcribed
F	103	flute	n.	長笛	true	6	103	transcribed
F	104	fly	v./n.	飛/蒼蠅	false	6	104	transcribed
